variable,value,new
Petal.Length,1,3
Petal.Length,1,3
Petal.Length,1.1,5
Petal.Length,1.1,3
Petal.Length,1.2,5
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.3,3
Petal.Length,1.3,5
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,5
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,5
Petal.Length,1.5,5
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.7,3
Petal.Length,1.7,5
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1,3
Petal.Length,1,3
Petal.Length,1.1,3
Petal.Length,1.1,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Sepal.Length,1.3,1
Petal.Length,1.3,3
Sepal.Length,1.3,2
Sepal.Length,1.3,5
Sepal.Length,1.3,2
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Sepal.Length,1.6,2
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
